name,category_name,description,city,region,phone,email,website,min_order_amount,min_order_unit,price_range_description,has_certificates,certificate_types,delivery_conditions,delivery_regions,source_url,source_platform,notes
ООО «БурятияМясо»,Мясо и птица,Поставки говядины и баранины из Бурятии оптом.,Улан-Удэ,Республика Бурятия,+7 (301) 280-20-27,meat@buryatiya-myaso.ru,buryatiya-myaso.ru,60000,руб,Говядина от 330 руб/кг,True,"ГОСТ, ветеринарные сертификаты",Доставка по СФО и ДВО,"Улан-Удэ, Чита, Иркутск",https://buryatiya-myaso.ru,manual,
ООО «МурманскКраб»,Рыба и морепродукты,Поставки краба креветки и мидий из Баренцева моря.,Мурманск,Мурманская область,+7 (815) 260-21-28,crab@murmansk-krab.ru,murmansk-krab.ru,250000,руб,Краб камчатский от 1400 руб/кг,True,"ГОСТ, MSC, HACCP",Доставка по РФ,"Мурманск, Москва, Петербург",https://murmansk-krab.ru,manual,
ООО «ЛипецкОвощи»,Фрукты и овощи,Оптовые поставки свёклы моркови и репчатого лука.,Липецк,Липецкая область,+7 (474) 240-22-29,veg@lipetsk-ovoshi.ru,lipetsk-ovoshi.ru,28000,руб,Морковь от 24 руб/кг,False,,Доставка по ЦФО,"Липецк, Тамбов, Воронеж",https://lipetsk-ovoshi.ru,manual,
ООО «ВладимирМолПром»,Молочная продукция,Поставки молока топлёного и ряженки оптом.,Владимир,Владимирская область,+7 (492) 220-23-30,dairy@vladimir-mol.ru,vladimir-mol.ru,40000,руб,Ряженка от 65 руб/л,True,ГОСТ,Доставка по ЦФО,"Владимир, Москва, Иваново",https://vladimir-mol.ru,manual,
ООО «СтавропольПтица»,Мясо и птица,Оптовые поставки индейки и утки от птицефабрики.,Ставрополь,Ставропольский край,+7 (865) 260-24-31,poultry@stavrop-ptitsa.ru,stavrop-ptitsa.ru,75000,руб,Индейка от 210 руб/кг,True,"ГОСТ, ветеринарные сертификаты",Доставка по СКФО и ЮФО,"Ставрополь, Краснодар, Ростов",https://stavrop-ptitsa.ru,manual,
ООО «ОмскМасло»,Масложировая продукция,Поставки сливочного масла и топлёного жира оптом.,Омск,Омская область,+7 (381) 240-25-32,butter@omsk-maslo.ru,omsk-maslo.ru,55000,руб,Масло 82,5% от 600 руб/кг,True,ГОСТ,Доставка по СФО,"Омск, Новосибирск, Тюмень",https://omsk-maslo.ru,manual,
ООО «ХабаровскРыба»,Рыба и морепродукты,Поставки лосося горбуши и кижуча с Дальнего Востока.,Хабаровск,Хабаровский край,+7 (421) 220-26-33,fish@habarovsk-ryba.ru,habarovsk-ryba.ru,120000,руб,Горбуша от 240 руб/кг,True,"ГОСТ, HACCP",Доставка по ДВО и РФ,"Хабаровск, Владивосток, Москва",https://habarovsk-ryba.ru,manual,
ООО «КалугаКрупа»,Бакалея,Оптовые поставки гречки риса и овсянки.,Калуга,Калужская область,+7 (484) 200-27-34,cereal@kaluga-krupa.ru,kaluga-krupa.ru,45000,руб,Рис от 68 руб/кг,True,ГОСТ,Доставка по ЦФО,"Калуга, Тула, Москва",https://kaluga-krupa.ru,manual,
ООО «НовороссийскМасло»,Масложировая продукция,Поставки оливкового и кукурузного масла оптом.,Новороссийск,Краснодарский край,+7 (861) 280-28-35,oil@novor-maslo.ru,novor-maslo.ru,80000,руб,Масло оливковое от 380 руб/л,True,"ГОСТ, ISO 22000",Доставка по ЮФО,"Новороссийск, Краснодар, Анапа",https://novor-maslo.ru,manual,
ООО «РязаньСвиноводство»,Мясо и птица,Поставки свинины охлаждённой и замороженной оптом.,Рязань,Рязанская область,+7 (491) 260-29-36,pork@ryazan-svin.ru,ryazan-svin.ru,70000,руб,Свинина от 285 руб/кг,True,"ГОСТ, ветеринарные сертификаты",Доставка по ЦФО,"Рязань, Москва, Тула",https://ryazan-svin.ru,manual,
ООО «ЧувашияПтица»,Мясо и птица,Оптовые поставки куриных яиц и мяса птицы.,Чебоксары,Чувашская Республика,+7 (835) 240-30-37,poultry@chuvashiya-ptitsa.ru,chuvashiya-ptitsa.ru,50000,руб,Яйца от 8 руб/шт,True,ГОСТ,Доставка по ПФО,"Чебоксары, Казань, Нижний Новгород",https://chuvashiya-ptitsa.ru,manual,
ООО «ТулаХлебозавод»,Хлеб и выпечка,Производство пряников и хлебобулочных изделий оптом.,Тула,Тульская область,+7 (487) 220-31-38,bread@tula-hleb.ru,tula-hleb.ru,30000,руб,Пряники от 180 руб/кг,True,ГОСТ,Доставка по ЦФО,"Тула, Москва, Рязань",https://tula-hleb.ru,manual,
ООО «СаратовМолоко»,Молочная продукция,Оптовые поставки молока и кефира от местных хозяйств.,Саратов,Саратовская область,+7 (845) 200-32-39,dairy@saratov-moloko.ru,saratov-moloko.ru,44000,руб,Кефир от 58 руб/л,True,ГОСТ,Доставка по ПФО,"Саратов, Энгельс, Балаково",https://saratov-moloko.ru,manual,
ООО «ПсковОвощи»,Фрукты и овощи,Поставки огурцов и томатов из псковских теплиц оптом.,Псков,Псковская область,+7 (811) 280-33-40,veg@pskov-ovoshi.ru,pskov-ovoshi.ru,25000,руб,Огурцы от 70 руб/кг,False,,Доставка по СЗФО,"Псков, Новгород, Петербург",https://pskov-ovoshi.ru,manual,
ООО «ТатарстанОрех»,Бакалея,Оптовые поставки грецкого ореха и фундука.,Казань,Республика Татарстан,+7 (843) 260-34-41,nuts@tatarstan-oreh.ru,tatarstan-oreh.ru,30000,руб,Грецкий орех от 550 руб/кг,True,ГОСТ,Доставка по ПФО,"Казань, Набережные Челны, Уфа",https://tatarstan-oreh.ru,manual,
ООО «ВолгоградПтица»,Мясо и птица,Поставки бройлеров и куриных полуфабрикатов оптом.,Волгоград,Волгоградская область,+7 (844) 240-35-42,poultry@volgograd-ptitsa.ru,volgograd-ptitsa.ru,65000,руб,Бройлер от 185 руб/кг,True,"ГОСТ, ветеринарные сертификаты",Доставка по ЮФО,"Волгоград, Саратов, Астрахань",https://volgograd-ptitsa.ru,manual,
ООО «АрхангельскМорепродукты»,Рыба и морепродукты,Поставки трески пикши и морского окуня из Белого моря.,Архангельск,Архангельская область,+7 (818) 220-36-43,fish@arkhangelsk-more.ru,arkhangelsk-more.ru,110000,руб,Треска от 280 руб/кг,True,"ГОСТ, MSC",Доставка по СЗФО,"Архангельск, Мурманск, Петербург",https://arkhangelsk-more.ru,manual,
ООО «СибирьМолоко»,Молочная продукция,Поставки сухого молока и сыворотки оптом.,Омск,Омская область,+7 (381) 200-37-44,dry@sibir-moloko.ru,sibir-moloko.ru,120000,руб,Сухое молоко от 320 руб/кг,True,"ГОСТ, ISO 22000",Доставка по СФО и РФ,"Омск, Новосибирск, Тюмень",https://sibir-moloko.ru,manual,
ООО «ЗабайкальеГриб»,Бакалея,Поставки сушёных грибов и таёжных дикоросов оптом.,Чита,Забайкальский край,+7 (302) 280-38-45,mushroom@zabaikalye-grib.ru,zabaikalye-grib.ru,15000,руб,Белый гриб сушёный от 2200 руб/кг,True,ГОСТ,Доставка по СФО и РФ,"Чита, Иркутск, Москва",https://zabaikalye-grib.ru,manual,
ООО «КурскСахарный»,Бакалея,Оптовые поставки свекловичного сахара от завода.,Курск,Курская область,+7 (471) 260-39-46,sugar@kursk-sakharny.ru,kursk-sakharny.ru,100000,руб,Сахар от 60 руб/кг,True,ГОСТ,Доставка по ЦФО и ЮФО,"Курск, Белгород, Воронеж",https://kursk-sakharny.ru,manual,
ООО «УдмуртияМясо»,Мясо и птица,Оптовые поставки говядины и свинины от удмуртских хозяйств.,Ижевск,Удмуртская Республика,+7 (341) 240-40-47,meat@udmurtiya-myaso.ru,udmurtiya-myaso.ru,65000,руб,Свинина от 290 руб/кг,True,ГОСТ,Доставка по ПФО,"Ижевск, Пермь, Казань",https://udmurtiya-myaso.ru,manual,
ООО «НорильскОленина»,Мясо и птица,Поставки оленины и дичи из Заполярья оптом.,Норильск,Красноярский край,+7 (391) 220-41-48,venison@norilsk-olenina.ru,norilsk-olenina.ru,90000,руб,Оленина от 680 руб/кг,True,"ГОСТ, ветеринарные сертификаты",Доставка по РФ,"Норильск, Красноярск, Москва",https://norilsk-olenina.ru,manual,
ООО «БелгородМолоко»,Молочная продукция,Оптовые поставки молока и сливок от белгородских хозяйств.,Белгород,Белгородская область,+7 (472) 200-42-49,dairy@belgorod-moloko.ru,belgorod-moloko.ru,48000,руб,Сливки 20% от 120 руб/л,True,ГОСТ,Доставка по ЦФО,"Белгород, Курск, Воронеж",https://belgorod-moloko.ru,manual,
ООО «КостромаСыр»,Молочная продукция,Производство и поставка костромского сыра оптом.,Кострома,Костромская область,+7 (494) 280-43-50,cheese@kostroma-syr.ru,kostroma-syr.ru,55000,руб,Костромской сыр от 480 руб/кг,True,"ГОСТ, HACCP",Доставка по ЦФО,"Кострома, Ярославль, Москва",https://kostroma-syr.ru,manual,
ООО «АмурРыба»,Рыба и морепродукты,Поставки амурского карпа и щуки оптом.,Благовещенск,Амурская область,+7 (416) 260-44-51,fish@amur-ryba.ru,amur-ryba.ru,70000,руб,Карп от 160 руб/кг,True,ГОСТ,Доставка по ДВО,"Благовещенск, Хабаровск, Владивосток",https://amur-ryba.ru,manual,
ООО «КабардинаФрукт»,Фрукты и овощи,Поставки яблок груш и слив из Кабардино-Балкарии.,Нальчик,Кабардино-Балкарская Республика,+7 (866) 240-45-52,fruit@kabardina-frukt.ru,kabardina-frukt.ru,35000,руб,Яблоки от 60 руб/кг,False,,Доставка по СКФО и ЮФО,"Нальчик, Ставрополь, Ростов",https://kabardina-frukt.ru,manual,
ООО «ТольяттиКонсервы»,Консервы,Оптовые поставки овощных и рыбных консервов.,Тольятти,Самарская область,+7 (848) 220-46-53,canned@tolyatti-konservy.ru,tolyatti-konservy.ru,50000,руб,Консервы от 45 руб/банка,True,"ГОСТ, HACCP",Доставка по ПФО,"Тольятти, Самара, Ульяновск",https://tolyatti-konservy.ru,manual,
ООО «ЯкутияДичь»,Мясо и птица,Поставки якутской конины и оленины оптом.,Якутск,Республика Саха (Якутия),+7 (411) 200-47-54,game@yakutiya-dich.ru,yakutiya-dich.ru,100000,руб,Конина от 720 руб/кг,True,"ГОСТ, ветеринарные сертификаты",Доставка по ДВО и РФ,"Якутск, Хабаровск, Москва",https://yakutiya-dich.ru,manual,
ООО «СамараМасло»,Масложировая продукция,Оптовые поставки подсолнечного масла от завода.,Самара,Самарская область,+7 (846) 280-48-55,oil@samara-maslo.ru,samara-maslo.ru,75000,руб,Масло нерафинированное от 92 руб/л,True,ГОСТ,Доставка по ПФО,"Самара, Тольятти, Саратов",https://samara-maslo.ru,manual,
ООО «ИвановоТекстиль-Агро»,Фрукты и овощи,Поставки льна и технических культур оптом.,Иваново,Ивановская область,+7 (493) 260-49-56,agro@ivanovo-agro.ru,ivanovo-agro.ru,40000,руб,Лён от 38 руб/кг,False,,Доставка по ЦФО,"Иваново, Ярославль, Кострома",https://ivanovo-agro.ru,manual,
ООО «СахалинМорепродукты»,Рыба и морепродукты,Поставки морского ежа устриц и гребешка с Сахалина.,Южно-Сахалинск,Сахалинская область,+7 (424) 240-50-57,seafood@sakhalin-more.ru,sakhalin-more.ru,300000,руб,Морской ёж от 1800 руб/кг,True,"ГОСТ, MSC, HACCP",Доставка по РФ,"Южно-Сахалинск, Владивосток, Москва",https://sakhalin-more.ru,manual,
ООО «КалмыкияМясо»,Мясо и птица,Поставки халяльной говядины и баранины из Калмыкии.,Элиста,Республика Калмыкия,+7 (847) 220-51-58,halal@kalmykiya-myaso.ru,kalmykiya-myaso.ru,80000,руб,Баранина от 400 руб/кг,True,"ГОСТ, халяль сертификат",Доставка по ЮФО и СКФО,"Элиста, Астрахань, Ставрополь",https://kalmykiya-myaso.ru,manual,
ООО «КарелияЯгода»,Бакалея,Поставки замороженных ягод и лесных грибов из Карелии.,Петрозаводск,Республика Карелия,+7 (814) 200-52-59,berries@kareliya-yagoda.ru,kareliya-yagoda.ru,20000,руб,Черника от 350 руб/кг,True,ГОСТ,Доставка по СЗФО и РФ,"Петрозаводск, Петербург, Москва",https://kareliya-yagoda.ru,manual,
ООО «ОрловскоеЯблоко»,Фрукты и овощи,Поставки яблок различных сортов из садовых хозяйств.,Орёл,Орловская область,+7 (486) 280-53-60,apple@oryol-yabloko.ru,oryol-yabloko.ru,30000,руб,Яблоки от 50 руб/кг,False,,Доставка по ЦФО,"Орёл, Брянск, Курск",https://oryol-yabloko.ru,manual,
ООО «АдыгейскийСыр»,Молочная продукция,Производство и поставка адыгейского сыра оптом.,Майкоп,Республика Адыгея,+7 (877) 260-54-61,cheese@adygei-syr.ru,adygei-syr.ru,45000,руб,Адыгейский сыр от 370 руб/кг,True,"ГОСТ, HACCP",Доставка по ЮФО,"Майкоп, Краснодар, Ростов",https://adygei-syr.ru,manual,
ООО «ЧечняХалялМясо»,Мясо и птица,Поставки халяльного мяса и птицы из Чечни оптом.,Грозный,Чеченская Республика,+7 (871) 240-55-62,halal@chechnya-myaso.ru,chechnya-myaso.ru,70000,руб,Говядина халяль от 360 руб/кг,True,"ГОСТ, халяль сертификат",Доставка по СКФО и РФ,"Грозный, Махачкала, Москва",https://chechnya-myaso.ru,manual,
ООО «МариийЭлКрупа»,Бакалея,Поставки пшена и перловки от марийских хозяйств оптом.,Йошкар-Ола,Республика Марий Эл,+7 (836) 220-56-63,cereal@mari-krupa.ru,mari-krupa.ru,38000,руб,Пшено от 45 руб/кг,True,ГОСТ,Доставка по ПФО,"Йошкар-Ола, Казань, Чебоксары",https://mari-krupa.ru,manual,
ООО «ТываОленина»,Мясо и птица,Поставки оленины и яка из Тывы оптом.,Кызыл,Республика Тыва,+7 (394) 200-57-64,venison@tyva-olenina.ru,tyva-olenina.ru,80000,руб,Оленина от 700 руб/кг,True,"ГОСТ, ветеринарные сертификаты",Доставка по СФО,"Кызыл, Абакан, Красноярск",https://tyva-olenina.ru,manual,
